item_id,name,config_type,config_key,default_value,recommended_value,category,risk_level,source_file,source_line,description,default_enabled,latency_relevant,throughput_relevant
env_pytorch_npu_alloc_conf,NPU内存分配配置,env_var,PYTORCH_NPU_ALLOC_CONF,expandable_segments:True,expandable_segments:True,memory,low,/vllm-workspace/vllm-ascend/vllm_ascend/platform.py,427,NPU内存分配器配置. 默认expandable_segments:True优化碎片,true,false,true
env_task_queue_enable,CANN任务队列,env_var,TASK_QUEUE_ENABLE,0,1,compute,low,CANN环境变量,0,启用CANN任务队列模式. 异步算子下发减少host-device同步开销. graph模式下建议开启,false,true,true
env_hccl_buffsize,HCCL通信缓冲区,env_var,HCCL_BUFFSIZE,未设置,512,communication,medium,HCCL环境变量,0,HCCL集合通信缓冲区大小(MB). 长序列或大TP场景需增大(512-2048),false,true,true
env_vllm_float32_matmul_precision,VLLM_FLOAT32_MATMUL_PRECISION,env_var,VLLM_FLOAT32_MATMUL_PRECISION,highest,medium,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,PyTorch float32矩阵乘精度. highest/high/medium. 降低精度可提升matmul性能但影响数值精度,true,true,false
env_vllm_fused_moe_chunk_size,VLLM_FUSED_MOE_CHUNK_SIZE,env_var,VLLM_FUSED_MOE_CHUNK_SIZE,16384,16384,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,FusedMoE分块大小. 影响MoE层的内存占用和计算效率. 默认16K tokens,true,true,true
env_vllm_enable_fused_moe_activation_chunking,VLLM_ENABLE_FUSED_MOE_ACTIVATION_CHUNKING,env_var,VLLM_ENABLE_FUSED_MOE_ACTIVATION_CHUNKING,1,1,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,启用FusedMoE激活分块. 减少MoE层峰值显存占用. 默认开启,true,true,true
env_vllm_worker_multiproc_method,VLLM_WORKER_MULTIPROC_METHOD,env_var,VLLM_WORKER_MULTIPROC_METHOD,fork,fork,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,多进程启动方式fork/spawn. NPU平台默认spawn但可覆盖为fork. 影响worker启动速度,true,false,false
env_vllm_pp_layer_partition,VLLM_PP_LAYER_PARTITION,env_var,VLLM_PP_LAYER_PARTITION,None,按需设置,parallel,medium,/vllm-workspace/vllm/vllm/envs.py,0,"PP层分区策略. 手动指定各PP rank的层数分配. 格式如'12,12'. 不均匀模型可优化bubble",false,true,true
env_vllm_allow_long_max_model_len,VLLM_ALLOW_LONG_MAX_MODEL_LEN,env_var,VLLM_ALLOW_LONG_MAX_MODEL_LEN,0,0,memory,low,/vllm-workspace/vllm/vllm/envs.py,0,允许超长max_model_len. 默认关闭防止OOM. 确认显存充足时可开启,false,false,false
env_vllm_enable_v1_multiprocessing,VLLM_ENABLE_V1_MULTIPROCESSING,env_var,VLLM_ENABLE_V1_MULTIPROCESSING,1,1,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,V1引擎多进程模式. 默认开启. 关闭可用于调试但影响性能,true,false,true
env_vllm_v1_output_proc_chunk_size,VLLM_V1_OUTPUT_PROC_CHUNK_SIZE,env_var,VLLM_V1_OUTPUT_PROC_CHUNK_SIZE,128,128,scheduling,low,/vllm-workspace/vllm/vllm/envs.py,0,V1 AsyncLLM输出处理块大小. 高并发流式场景调整. 过高增加延迟方差过低影响TTFT,true,true,true
env_vllm_mla_disable,VLLM_MLA_DISABLE,env_var,VLLM_MLA_DISABLE,0,0,compute,medium,/vllm-workspace/vllm/vllm/envs.py,0,禁用MLA注意力优化. DeepSeek模型默认启用MLA. 调试时可禁用,true,false,false
env_vllm_dp_size,VLLM_DP_SIZE,env_var,VLLM_DP_SIZE,1,按需设置,parallel,medium,/vllm-workspace/vllm/vllm/envs.py,0,数据并行大小. 多卡推理时设置DP并行度. 与TP/PP组合使用,false,false,true
env_vllm_moe_dp_chunk_size,VLLM_MOE_DP_CHUNK_SIZE,env_var,VLLM_MOE_DP_CHUNK_SIZE,256,256,scheduling,low,/vllm-workspace/vllm/vllm/envs.py,0,MoE DP模式下token dispatch块大小. 影响EP+DP场景的通信粒度,true,true,true
env_vllm_enable_moe_dp_chunk,VLLM_ENABLE_MOE_DP_CHUNK,env_var,VLLM_ENABLE_MOE_DP_CHUNK,1,1,scheduling,low,/vllm-workspace/vllm/vllm/envs.py,0,启用MoE DP分块. EP+DP场景下分块dispatch token. 默认开启,true,true,true
env_vllm_log_batchsize_interval,VLLM_LOG_BATCHSIZE_INTERVAL,env_var,VLLM_LOG_BATCHSIZE_INTERVAL,-1,-1,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,批大小日志间隔(秒). -1=禁用. 调试时可开启观察batch size分布,true,false,false
env_vllm_disable_shared_experts_stream,VLLM_DISABLE_SHARED_EXPERTS_STREAM,env_var,VLLM_DISABLE_SHARED_EXPERTS_STREAM,0,0,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,禁用shared_experts并行流. 默认启用并行流加速MoE. 大batch时并行流可能无收益,true,true,false
env_vllm_shared_experts_stream_token_threshold,VLLM_SHARED_EXPERTS_STREAM_TOKEN_THRESHOLD,env_var,VLLM_SHARED_EXPERTS_STREAM_TOKEN_THRESHOLD,256,256,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,shared_experts并行流token阈值. 超过此值不使用并行流. 可根据模型调整,true,true,false
env_vllm_sleep_when_idle,VLLM_SLEEP_WHEN_IDLE,env_var,VLLM_SLEEP_WHEN_IDLE,0,0,memory,low,/vllm-workspace/vllm/vllm/envs.py,0,空闲时释放显存(sleep模式). 多实例共享NPU时可开启. 会增加唤醒延迟,false,false,true
env_vllm_engine_iteration_timeout_s,VLLM_ENGINE_ITERATION_TIMEOUT_S,env_var,VLLM_ENGINE_ITERATION_TIMEOUT_S,60,60,scheduling,low,/vllm-workspace/vllm/vllm/envs.py,0,引擎迭代超时(秒). 默认60s. 长序列prefill可能需要增大,true,false,false
env_vllm_engine_ready_timeout_s,VLLM_ENGINE_READY_TIMEOUT_S,env_var,VLLM_ENGINE_READY_TIMEOUT_S,600,600,scheduling,low,/vllm-workspace/vllm/vllm/envs.py,0,引擎就绪超时(秒). 默认600s. 大模型加载慢时可能需要增大,true,false,false
env_q_scale_constant,Q_SCALE_CONSTANT,env_var,Q_SCALE_CONSTANT,200,200,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,FP8 KV Cache动态query缩放因子除数. 影响FP8量化精度. 默认200,true,true,false
env_k_scale_constant,K_SCALE_CONSTANT,env_var,K_SCALE_CONSTANT,200,200,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,FP8 KV Cache动态key缩放因子除数. 影响FP8量化精度. 默认200,true,true,false
env_v_scale_constant,V_SCALE_CONSTANT,env_var,V_SCALE_CONSTANT,100,100,compute,low,/vllm-workspace/vllm/vllm/envs.py,0,FP8 KV Cache动态value缩放因子除数. 影响FP8量化精度. 默认100,true,true,false
env_vllm_msgpack_zero_copy_threshold,VLLM_MSGPACK_ZERO_COPY_THRESHOLD,env_var,VLLM_MSGPACK_ZERO_COPY_THRESHOLD,256,256,communication,low,/vllm-workspace/vllm/vllm/envs.py,0,msgpack零拷贝阈值(字节). 超过此大小使用零拷贝传输. 影响IPC效率,true,false,true
env_vllm_weight_offloading_disable_pin_memory,VLLM_WEIGHT_OFFLOADING_DISABLE_PIN_MEMORY,env_var,VLLM_WEIGHT_OFFLOADING_DISABLE_PIN_MEMORY,0,0,memory,low,/vllm-workspace/vllm/vllm/envs.py,0,禁用CPU offload的pin memory. NPU平台可能需要禁用. 影响offload性能,true,false,false
env_vllm_weight_offloading_disable_uva,VLLM_WEIGHT_OFFLOADING_DISABLE_UVA,env_var,VLLM_WEIGHT_OFFLOADING_DISABLE_UVA,0,0,memory,low,/vllm-workspace/vllm/vllm/envs.py,0,禁用UVA(统一虚拟寻址)CPU offload. NPU平台可能不支持UVA,true,false,false
env_vllm_kv_cache_layout,VLLM_KV_CACHE_LAYOUT,env_var,VLLM_KV_CACHE_LAYOUT,auto,auto,memory,medium,/vllm-workspace/vllm/vllm/envs.py,0,KV Cache布局. auto/NZ等. 影响attention计算效率. NPU上NZ格式可能更优,false,true,true
cli_max_num_seqs,max-num-seqs,cli_arg,max-num-seqs,256,128,scheduling,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,最大并发序列数. 影响batch大小和显存占用. 小并发场景减小可降低调度开销. 大并发场景增大提升吞吐,false,true,true
cli_max_num_batched_tokens,max-num-batched-tokens,cli_arg,max-num-batched-tokens,None(auto),按需设置,scheduling,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,单次迭代最大token数. 控制prefill阶段的计算量. 过大导致prefill延迟高过小影响吞吐,false,true,true
cli_max_model_len,max-model-len,cli_arg,max-model-len,模型默认,按需设置,memory,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,最大模型序列长度. 影响KV cache显存分配. 设置过大浪费显存过小限制输入长度,false,true,true
cli_scheduling_policy,scheduling-policy,cli_arg,scheduling-policy,fcfs,fcfs,scheduling,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,调度策略. fcfs(先来先服务)或priority. 影响请求排队和公平性,false,false,true
cli_max_num_partial_prefills,max-num-partial-prefills,cli_arg,max-num-partial-prefills,1,1,scheduling,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,最大部分prefill数. chunked prefill场景控制并发prefill数. 增大可提升prefill吞吐但增加延迟,false,true,true
cli_long_prefill_token_threshold,long-prefill-token-threshold,cli_arg,long-prefill-token-threshold,0,按需设置,scheduling,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,长prefill token阈值. 超过此值的prefill被视为长prefill. 配合max-long-partial-prefills使用,false,true,true
cli_max_long_partial_prefills,max-long-partial-prefills,cli_arg,max-long-partial-prefills,1,1,scheduling,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,最大长部分prefill数. 控制长序列prefill的并发度. 影响长序列场景的延迟和吞吐平衡,false,true,true
cli_num_scheduler_steps,num-scheduler-steps,cli_arg,num-scheduler-steps,1,1,scheduling,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,调度器步数. 多步调度可减少调度开销但增加延迟. NPU graph模式下建议保持1,false,true,true
cli_gpu_memory_utilization,gpu-memory-utilization,cli_arg,gpu-memory-utilization,0.9,0.85,memory,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,GPU/NPU显存利用率. 控制KV cache可用显存比例. 过高易OOM过低浪费显存. 建议0.8-0.9,true,true,true
cli_block_size,block-size,cli_arg,block-size,16,16,memory,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,KV cache块大小. 影响显存碎片和prefix caching效率. 16是NPU上的推荐值,true,true,true
cli_swap_space,swap-space,cli_arg,swap-space,4,4,memory,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,CPU swap空间(GB). 显存不足时将KV cache换出到CPU. 增大可支持更多并发但增加延迟,true,false,true
cli_kv_cache_dtype,kv-cache-dtype,cli_arg,kv-cache-dtype,auto,auto,memory,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,KV cache数据类型. auto/fp8/fp8_e4m3/fp8_e5m2. FP8可节省50%显存但影响精度,false,true,true
cli_enable_prefix_caching,enable-prefix-caching,cli_arg,enable-prefix-caching,True,True,memory,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,启用前缀缓存. 相同前缀的请求复用KV cache. 减少重复计算. 默认开启,false,true,true
cli_prefix_caching_hash_algo,prefix-caching-hash-algo,cli_arg,prefix-caching-hash-algo,builtin,builtin,memory,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,前缀缓存哈希算法. builtin/blake3. 影响prefix matching速度,true,false,false
cli_cpu_offload_gb,cpu-offload-gb,cli_arg,cpu-offload-gb,0,按需设置,memory,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,CPU offload大小(GB). 将部分权重卸载到CPU. 可运行更大模型但增加延迟,false,false,true
cli_tensor_parallel_size,tensor-parallel-size,cli_arg,tensor-parallel-size,1,按需设置,parallel,high,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,张量并行大小. 将模型切分到多卡. 减少单卡显存但增加通信开销. 根据模型大小和卡数设置,false,true,true
cli_pipeline_parallel_size,pipeline-parallel-size,cli_arg,pipeline-parallel-size,1,按需设置,parallel,high,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,流水线并行大小. 将模型层分配到多组卡. 适合超大模型. 引入pipeline bubble,false,true,true
cli_data_parallel_size,data-parallel-size,cli_arg,data-parallel-size,1,按需设置,parallel,high,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,数据并行大小. 多副本并行处理请求. 线性提升吞吐. 需要足够多的卡,false,false,true
cli_enable_expert_parallel,enable-expert-parallel,cli_arg,enable-expert-parallel,False,True,parallel,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,启用专家并行. MoE模型将专家分布到多卡. 减少单卡显存和计算量,false,true,true
cli_all2all_backend,all2all-backend,cli_arg,all2all-backend,auto,auto,communication,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,AllToAll通信后端. auto/pplx/deepep/flashinfer_all2allv. MoE EP场景的通信实现,false,true,true
cli_enable_dbo,enable-dbo,cli_arg,enable-dbo,False,按需设置,parallel,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,启用DBO(Disaggregated Batch Overlap). prefill和decode重叠执行. 需EP支持,false,true,true
cli_prefill_context_parallel_size,prefill-context-parallel-size,cli_arg,prefill-context-parallel-size,1,按需设置,parallel,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,Prefill阶段CP并行度. 长序列prefill分片到多卡. 需配合VLLM_ASCEND_ENABLE_CONTEXT_PARALLEL,false,true,true
cli_decode_context_parallel_size,decode-context-parallel-size,cli_arg,decode-context-parallel-size,1,按需设置,parallel,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,Decode阶段CP并行度. decode分片到多卡. 通常不需要设置,false,true,true
cli_enforce_eager,enforce-eager,cli_arg,enforce-eager,False,False,compilation,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,强制eager模式. 禁用graph/compile优化. 调试用. 生产环境建议关闭以启用graph模式,true,true,true
cli_dtype,dtype,cli_arg,dtype,auto,auto,compute,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,模型数据类型. auto/half/float16/bfloat16/float32. auto自动选择. bfloat16在NPU上通常最优,true,true,true
cli_quantization,quantization,cli_arg,quantization,None,按需设置,compute,high,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,量化方法. awq/gptq/fp8/w8a8等. 减少显存和提升推理速度但影响精度,false,true,true
cli_compilation_config,compilation-config,cli_arg,compilation-config,None,按需设置,compilation,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,编译配置JSON. 控制cudagraph/NPUGraph捕获. 包含level/backend/cudagraph_capture_sizes等子参数,false,true,true
cli_speculative_config,speculative-config,cli_arg,speculative-config,None,按需设置,speculative,high,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,投机解码配置JSON. method/num_speculative_tokens/draft_model等. 可显著提升生成速度但需额外显存,false,true,true
cli_additional_config,additional-config,cli_arg,additional-config,None,按需设置,compute,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,Ascend附加配置JSON. 包含xlite_graph_config/ascend_compilation_config/weight_prefetch_config等子配置,false,true,true
cli_disable_chunked_mm_input,disable-chunked-mm-input,cli_arg,disable-chunked-mm-input,False,False,scheduling,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,禁用多模态输入分块. 默认启用分块处理大图片/视频. 禁用可能影响多模态性能,false,true,false
cli_num_gpu_blocks_override,num-gpu-blocks-override,cli_arg,num-gpu-blocks-override,None,按需设置,memory,medium,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,手动覆盖GPU/NPU block数. 跳过自动profiling. 已知最优值时可加速启动,false,true,true
cli_calculate_kv_scales,calculate-kv-scales,cli_arg,calculate-kv-scales,False,按需设置,compute,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,计算KV缩放因子. FP8 KV cache场景启用. 提升FP8精度,false,true,false
cli_max_logprobs,max-logprobs,cli_arg,max-logprobs,20,20,compute,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,最大logprobs数. 影响输出token的概率信息量. 增大会增加输出开销,true,false,false
cli_disable_sliding_window,disable-sliding-window,cli_arg,disable-sliding-window,False,False,compute,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,禁用滑动窗口注意力. 某些模型使用滑动窗口. 禁用后使用全注意力增加显存但可能提升质量,false,false,false
cli_disable_cascade_attn,disable-cascade-attn,cli_arg,disable-cascade-attn,False,False,compute,low,/vllm-workspace/vllm/vllm/engine/arg_utils.py,0,禁用级联注意力. 级联注意力优化prefix caching场景. 禁用可能影响prefix caching性能,false,true,false
ac_compilation_fuse_norm_quant,ascend_compilation_config.fuse_norm_quant,additional_config,ascend_compilation_config.fuse_norm_quant,False,True,compilation,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,融合Norm+Quant算子. 减少算子调度开销. W8A8量化场景建议开启,false,true,false
ac_compilation_fuse_qknorm_rope,ascend_compilation_config.fuse_qknorm_rope,additional_config,ascend_compilation_config.fuse_qknorm_rope,False,True,compilation,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,融合QKNorm+RoPE算子. 减少attention前处理的算子数. 支持的模型建议开启,false,true,false
ac_compilation_fuse_allreduce_rms,ascend_compilation_config.fuse_allreduce_rms,additional_config,ascend_compilation_config.fuse_allreduce_rms,False,True,compilation,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,融合AllReduce+RMSNorm算子. TP场景减少通信和归一化的同步开销. 建议开启,false,true,true
ac_compilation_fuse_muls_add,ascend_compilation_config.fuse_muls_add,additional_config,ascend_compilation_config.fuse_muls_add,False,True,compilation,low,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,融合Muls+Add算子. 减少element-wise操作的kernel launch开销,false,true,false
ac_compilation_enable_npugraph_ex,ascend_compilation_config.enable_npugraph_ex,additional_config,ascend_compilation_config.enable_npugraph_ex,False,True,graph,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,启用NPUGraph扩展模式. 支持更多算子的graph捕获. 配合compilation_config使用,false,true,true
ac_compilation_enable_static_kernel,ascend_compilation_config.enable_static_kernel,additional_config,ascend_compilation_config.enable_static_kernel,False,True,compilation,low,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,启用静态kernel. 固定kernel选择避免运行时选择开销. 稳定负载场景建议开启,false,true,false
ac_fusion_fusion_ops_gmmswigluquant,ascend_fusion_config.fusion_ops_gmmswigluquant,additional_config,ascend_fusion_config.fusion_ops_gmmswigluquant,False,True,compilation,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,融合GMM+SwiGLU+Quant算子. MoE模型专用. 减少MoE FFN的算子调度开销. W8A8场景建议开启,false,true,true
ac_xlite_enabled,xlite_graph_config.enabled,additional_config,xlite_graph_config.enabled,False,True,graph,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,启用Xlite图模式. 将模型编译为静态图执行. 减少算子调度开销显著提升性能. 生产环境强烈建议开启,false,true,true
ac_xlite_full_mode,xlite_graph_config.full_mode,additional_config,xlite_graph_config.full_mode,False,True,graph,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,Xlite全图模式. 将更多算子纳入图编译. 比基础图模式性能更优但兼容性要求更高,false,true,true
ac_wprefetch_enabled,weight_prefetch_config.enabled,additional_config,weight_prefetch_config.enabled,False,True,bandwidth,low,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,启用权重预取. 提前加载下一层权重到HBM. 小并发场景掩盖HBM带宽延迟. 替代旧版ENABLE_PREFETCH_MLP,false,true,false
ac_wprefetch_prefetch_ratio,weight_prefetch_config.prefetch_ratio,additional_config,weight_prefetch_config.prefetch_ratio,1.0,1.0,bandwidth,low,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,权重预取比例. 控制预取的权重量. 1.0=全部预取. 显存紧张时可降低,false,true,false
ac_fgtp_oproj_tensor_parallel_size,finegrained_tp_config.oproj_tensor_parallel_size,additional_config,finegrained_tp_config.oproj_tensor_parallel_size,None,按需设置,parallel,high,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,O-proj张量并行度. 细粒度控制output projection的TP. 可与其他层使用不同TP大小,false,true,true
ac_fgtp_lmhead_tensor_parallel_size,finegrained_tp_config.lmhead_tensor_parallel_size,additional_config,finegrained_tp_config.lmhead_tensor_parallel_size,None,按需设置,parallel,high,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,LM Head张量并行度. 控制最终输出层的TP. 大词表模型可独立设置,false,false,true
ac_fgtp_embedding_tensor_parallel_size,finegrained_tp_config.embedding_tensor_parallel_size,additional_config,finegrained_tp_config.embedding_tensor_parallel_size,None,按需设置,parallel,high,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,Embedding张量并行度. 控制embedding层的TP. 大词表模型可独立设置,false,false,true
ac_fgtp_mlp_tensor_parallel_size,finegrained_tp_config.mlp_tensor_parallel_size,additional_config,finegrained_tp_config.mlp_tensor_parallel_size,None,按需设置,parallel,high,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,MLP张量并行度. 控制FFN层的TP. 可与attention层使用不同TP大小,false,true,true
ac_eplb_dynamic_eplb,eplb_config.dynamic_eplb,additional_config,eplb_config.dynamic_eplb,False,True,scheduling,high,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,动态专家负载均衡. MoE模型运行时重新分配专家. 需配合DYNAMIC_EPLB环境变量,false,false,true
ac_eplb_expert_map_path,eplb_config.expert_map_path,additional_config,eplb_config.expert_map_path,None,按需设置,scheduling,high,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,专家映射文件路径. 静态专家分配的JSON文件. 离线分析后指定最优分配,false,false,true
ac_eplb_num_redundant_experts,eplb_config.num_redundant_experts,additional_config,eplb_config.num_redundant_experts,0,按需设置,scheduling,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,冗余专家数. 热门专家的副本数. 增大可平衡负载但增加显存,false,false,true
ac_eplb_eplb_policy_type,eplb_config.eplb_policy_type,additional_config,eplb_config.eplb_policy_type,0,0,scheduling,medium,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,EPLB策略类型. 0-3不同策略. 0=默认. 根据负载特征选择,false,false,true
ac_eplb_expert_heat_collection_interval,eplb_config.expert_heat_collection_interval,additional_config,eplb_config.expert_heat_collection_interval,100,100,scheduling,low,/vllm-workspace/vllm-ascend/vllm_ascend/ascend_config.py,0,专家热度采集间隔(步). 控制EPLB统计频率. 过小增加开销过大响应慢,false,false,true
